SUBINVENTORY,REGISTER_ID,STD_RECEIPT_BANK_ACCOUNT_NAME,STD_RECEIPT_BANK_ACCOUNT_NUMBER,STD_RECEIPT_SOURCE,MISC_RECEIPT_BANK_ACCOUNT_NAME,MISC_RECEIPT_BANK_ACCOUNT_NUMBER,MISC_RECEIPT_SOURCE
KHJTHEZONE,586,Cash KHJTHEZONE,Cash KHJTHEZONE,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank KHJTHEZONE,AL Jazeerah Bank KHJTHEZONE,VENDHQ_REGISTERS.BANK_ACCOUNT
BURIDHIMAM,650,Cash BURIDHIMAM,Cash BURIDHIMAM,Receipt_Methods.csv,,,
JEDJOHRAML,652,Cash JEDJOHRAML,Cash JEDJOHRAML,Receipt_Methods.csv,AL Jazeerah Bank JEDJOHRAML Account Acc#,AL Jazeerah Bank JEDJOHRAML,Receipt_Methods.csv
JEDPALMWAK,653,Cash JEDPALMWAK,Cash JEDPALMWAK,Receipt_Methods.csv,AL Jazeerah Bank JEDPALMWAK Account Acc#,AL Jazeerah Bank JEDPALMWAK,Receipt_Methods.csv
JEDPNORAMA,654,,,,,,
HILTONMAK2,466,Cash HILTONMAK2,Cash HILTONMAK2,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank HILTONMAK2,AL Jazeerah Bank HILTONMAK2,VENDHQ_REGISTERS.BANK_ACCOUNT
TOWNSQJED,487,Cash TOWNSQJED,Cash TOWNSQJED,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank TOWNSQJED,AL Jazeerah Bank TOWNSQJED,VENDHQ_REGISTERS.BANK_ACCOUNT
MAJARDAH,491,Cash MAJARDAH,Cash MAJARDAH,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MAJARDAH,AL Jazeerah Bank MAJARDAH,VENDHQ_REGISTERS.BANK_ACCOUNT
AZAIBAOMN,511,Cash AZAIBAOMN,Cash AZAIBAOMN,VENDHQ_REGISTERS.CASH_ACCOUNT,Oman Arab Bank Account- ACC # 3106-573999-500,ount-,VENDHQ_REGISTERS.BANK_ACCOUNT
OMNHRMZPLZ,530,Cash OMNHRMZPLZ,Cash OMNHRMZPLZ,VENDHQ_REGISTERS.CASH_ACCOUNT,Oman Arab Bank Account- ACC # 3106-573999-500,ount-,VENDHQ_REGISTERS.BANK_ACCOUNT
JUBAILMAL2,545,Cash JUBAILMAL2,Cash JUBAILMAL2,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank JUBAILMAL2,AL Jazeerah Bank JUBAILMAL2,VENDHQ_REGISTERS.BANK_ACCOUNT
BAHAAVENUS,546,Cash BAHAAVENUS,Cash BAHAAVENUS,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank BAHAAVENUS,AL Jazeerah Bank BAHAAVENUS,VENDHQ_REGISTERS.BANK_ACCOUNT
MEDAD,359,CASH Medad Center,CASH Medad Center,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Medad Center Account - Acc # 015795017321015,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
Hall 4,178,Cash Account Hall 4,ount,VENDHQ_REGISTERS.CASH_ACCOUNT,National Bank of Kuwait KWD - ACC #******,National Bank of Kuwait KWD - ACC #******,VENDHQ_REGISTERS.BANK_ACCOUNT
ZAHIA,240,Cash Zahia mall,Cash Zahia mall,VENDHQ_REGISTERS.CASH_ACCOUNT,Abu Dhabi Islamic Bank Account AED,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
GRANADA,356,Cash Granada Mall,Cash Granada Mall,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Gernada Mall Account - Acc # 015795017321024,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
EHSAA,331,Cash AL IHSA MALL,Cash AL IHSA MALL,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Al Ihsaa Mall Account - Acc # 015795017321028,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
DAREEN,334,Cash DAREEN MALL,Cash DAREEN MALL,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Dareen Mall Account - Acc # 015795017321034,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
SALAMAH,371,Cash SALMAH MALL,Cash SALMAH MALL,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Salma Mall Account - Acc # 015795017321033,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
ASEER,330,Cash ASSER MALL,Cash ASSER MALL,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Aseer Mall Account - Acc # 015795017321031,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
AMWAJ,333,Cash AMUAJJ MALL,Cash AMUAJJ MALL,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Amwaj Mall Account - Acc # 015795017321027,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
WESTAVENUE,335,Cash WEST AVINEO,Cash WEST AVINEO,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank West Avenuo Mall Account - Acc # 015795017321032,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
NAKJPLAZA,332,Cash AL NAKheel PLAZA,Cash AL NAKheel PLAZA,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Nakhel Plaza Account - Acc # 015795017321038,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
TALAMALL,364,Cash Tala Mall,Cash Tala Mall,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Tala Mall Account - Acc # 015795017321021,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
KHERAIS,370,Cash Khris Mall,Cash Khris Mall,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Khuris Mall Account - Acc # 015795017321019,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
JUBAIL,349,Cash AL JUBAIL MALL,Cash AL JUBAIL MALL,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Jubail Mall Account - Acc # 015795017321030,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
TABOUK,376,Cash Tabuk Park Mall,Cash Tabuk Park Mall,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Tabouk Park Mall Account - Acc # 015795017321029,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
ZAHRAN,336,Cash AL DAHRAN MALL,Cash AL DAHRAN MALL,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Dahran Mall Account - Acc # 015795017321039,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
KADI,348,Cash KADI MALL,Cash KADI MALL,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Kadi Mall Account - Acc # 015795017321036,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
JURIMALL,367,Cash JORI MALL,Cash JORI MALL,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Jory Mall Account - Acc # 015795017321035,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
MUSCATCC,185,Cash City Centre Muscat,Cash City Centre Muscat,VENDHQ_REGISTERS.CASH_ACCOUNT,Oman Arab Bank OMR,Oman Arab Bank OMR,VENDHQ_REGISTERS.BANK_ACCOUNT
MAKTOWER,353,CASH Makkah tower Branch,CASH Makkah tower Branch,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MAKTOWER Account - Acc #,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
FUJAIRAHCC,242,Cash FujairahCC,Cash FujairahCC,VENDHQ_REGISTERS.CASH_ACCOUNT,Abu Dhabi Islamic Bank Account AED,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
MIRDIFFCC,243,Cash MCC,Cash MCC,VENDHQ_REGISTERS.CASH_ACCOUNT,Abu Dhabi Islamic Bank Account AED,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
SOHARCITY,190,Cash Sohar City,Cash Sohar City,VENDHQ_REGISTERS.CASH_ACCOUNT,Oman Arab Bank OMR,Oman Arab Bank OMR,VENDHQ_REGISTERS.BANK_ACCOUNT
Hall 8,183,Cash Account Hall 8,ount,VENDHQ_REGISTERS.CASH_ACCOUNT,National Bank of Kuwait KWD - ACC #******,National Bank of Kuwait KWD - ACC #******,VENDHQ_REGISTERS.BANK_ACCOUNT
ALULA,372,CASH Al Ula Event Branch,CASH Al Ula Event Branch,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Ula Event Account - Acc # 015795017321041,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
ARARMALL,369,Cash Ararmall,Cash Ararmall,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Ararmalld Account - Acc # 015795017321048,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
GRMALLHAIL,337,CashOth Mall Hail,CashOth Mall Hail,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Oth Mall Hail Account - Acc # 015795017321045,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
RABWA,362,Cash Oth Mall Rabwa,Cash Oth Mall Rabwa,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Oth Mall Rabwa Account - Acc # 015795017321047,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
EXBSA02,355,Cash EXBSA02,Cash EXBSA02,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank EXBSA02 Jed Account - Acc # 015795017321044,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
ONAIZAH,354,Cash Onaizah,Cash Onaizah,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Onaizah  Account - Acc # 015795017321046,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
EXBS,1,Cash EXBSA Riyadh,Cash EXBSA Riyadh,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank EXBSA RYD Account - Acc #,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
WEHDA,239,Cash AL Wehdah Mall,Cash AL Wehdah Mall,VENDHQ_REGISTERS.CASH_ACCOUNT,Abu Dhabi Islamic Bank Account AED,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
DEERFIELDS,233,Cash Deerfields Mall,Cash Deerfields Mall,VENDHQ_REGISTERS.CASH_ACCOUNT,Abu Dhabi Islamic Bank Account AED,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
CITYWALK,232,Cash City Walk Mall,Cash City Walk Mall,VENDHQ_REGISTERS.CASH_ACCOUNT,Abu Dhabi Islamic Bank Account AED,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
MARSASEEF,237,Cash Marsa AL Seef Mall,Cash Marsa AL Seef Mall,VENDHQ_REGISTERS.CASH_ACCOUNT,Abu Dhabi Islamic Bank Account AED,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
SAHARH,238,Cash Saharah Mall,Cash Saharah Mall,VENDHQ_REGISTERS.CASH_ACCOUNT,Abu Dhabi Islamic Bank Account AED,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
ALAIN,231,Cash AL Ain Mall,Cash AL Ain Mall,VENDHQ_REGISTERS.CASH_ACCOUNT,Abu Dhabi Islamic Bank Account AED,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
FUJAIRAH,235,Cash AL Fujairah Mall,Cash AL Fujairah Mall,VENDHQ_REGISTERS.CASH_ACCOUNT,Abu Dhabi Islamic Bank Account AED,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
MANARRAK,236,Cash Manar Mall RAK,Cash Manar Mall RAK,VENDHQ_REGISTERS.CASH_ACCOUNT,Abu Dhabi Islamic Bank Account AED,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
OMMAL,189,Cash Mall of Oman,Cash Mall of Oman,VENDHQ_REGISTERS.CASH_ACCOUNT,Oman Arab Bank OMR,Oman Arab Bank OMR,VENDHQ_REGISTERS.BANK_ACCOUNT
SALAMRYD,363,Cash Al Salam Mall,Cash Al Salam Mall,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Salam Ryd Mall Account - Acc # 015795017321022,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
Avenues,72,Cash Account Avenues MALL,ount,VENDHQ_REGISTERS.CASH_ACCOUNT,National Bank of Kuwait KWD - ACC #******,National Bank of Kuwait KWD - ACC #******,VENDHQ_REGISTERS.BANK_ACCOUNT
DANA,368,CASH Dana Mall Branch,CASH Dana Mall Branch,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Dana Mall Account - Acc # 015795017321040,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
DUBMAL,234,Cash Dubai Mall,Cash Dubai Mall,VENDHQ_REGISTERS.CASH_ACCOUNT,Abu Dhabi Islamic Bank Account AED,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
YASKIOSK,241,Cash YASKIOSK,Cash YASKIOSK,VENDHQ_REGISTERS.CASH_ACCOUNT,Abu Dhabi Islamic Bank Account AED,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
EXBOMN,191,Cash EXBOMN,Cash EXBOMN,VENDHQ_REGISTERS.CASH_ACCOUNT,Oman Arab Bank Account- ACC # 3106-573999-500,ount-,VENDHQ_REGISTERS.BANK_ACCOUNT
AVENUKIOSK,381,Cash Account Avenues Kiosk,ount,VENDHQ_REGISTERS.CASH_ACCOUNT,National Bank of Kuwait KWD - ACC #******,National Bank of Kuwait KWD - ACC #******,VENDHQ_REGISTERS.BANK_ACCOUNT
EXBSA04,379,Cash EXBSA04,Cash EXBSA04,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank EXBSA04 Account - Acc #,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
EXBSA03,373,Cash EXBSA03,Cash EXBSA03,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank EXBSA03 Account - Acc #,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
NAKHELMALL,360,Cash Nakheel Mall,Cash Nakheel Mall,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Nakhel Mall Account - Acc # 015795017321020,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
ARABMALL,339,CASH Arab Mall Branch,CASH Arab Mall Branch,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Arab Mall Account - Acc # 015795017321008,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
HAMRAA,357,Cash Al Hamra Mall,Cash Al Hamra Mall,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Hamraa Mall Account - Acc # 015795017321018,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
MAKKAH,352,CASH Makkah Mall Branch,CASH Makkah Mall Branch,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Makkah Mall Account - Acc # 015795017321037,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
AZIZMALL,340,CASH Aziz Mall Branch,CASH Aziz Mall Branch,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Aziz Mall Account - Acc # 015795017321012,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
NOUR,351,Cash Noor Mall,Cash Noor Mall,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Al Noor Mall Account - Acc # 015795017321025,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
TAWAREN,365,CASH Tawaren Center Branch,CASH Tawaren Center Branch,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Tawaren Center Account - Acc # 015795017321023,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
TAHLIA-F,404,CASH Tahliah Center Branch,CASH Tahliah Center Branch,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Tahlia Center Account - Acc # 015795017321005,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
TAHLIA,346,CASH Tahliah Center Branch,CASH Tahliah Center Branch,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Tahlia Center Account - Acc # 015795017321005,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
SALAMJED,345,CASH Salam Mall Jeddah Branch,CASH Salam Mall Jeddah Branch,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Salam Jed Mall count - Acc # 015795017321009,015795017321009,VENDHQ_REGISTERS.BANK_ACCOUNT
RYDGALLER,361,Cash Riyadh Gallery,Cash Riyadh Gallery,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Riyad Gallery Account - Acc # 015795017321017,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
REDSEA,344,CASH Red Sea Mall Branch,CASH Red Sea Mall Branch,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Red Sea Mall Account - Acc # 015795017321006,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
HAYAT,358,Cash Al Hayat Mall,Cash Al Hayat Mall,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Hayat Mall Account - Acc # 015795017321016,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
HAIFAA,342,CASH Haifaa Mall Branch,CASH Haifaa Mall Branch,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Haifa Mall Account - Acc # 015795017321013,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
FLAMINGO,341,CASH Felamengo Mall Branch,CASH Felamengo Mall Branch,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Flamingo Mall Account - Acc # 015795017321014,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
YASMEEN,347,CASH Yasmeen Mall Branch,CASH Yasmeen Mall Branch,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Yasmeen Mall Account - Acc # 015795017321010,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
ANDLUS,338,CASH Andalus Mall Branch,CASH Andalus Mall Branch,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Andalus Mall Account - Acc # 015795017321007,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
MANAR,350,Cash Al Manar Mall,Cash Al Manar Mall,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Al Manar Mall Account - Acc # 015795017321026,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
PANORAMA,406,CashPANORAMA,CashPANORAMA,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah PANORAMA,AL Jazeerah PANORAMA,VENDHQ_REGISTERS.BANK_ACCOUNT
MAHMAL,343,CASH AL Mahmal Branch,CASH AL Mahmal Branch,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank Mahmal Center Account - Acc # 015795017321011,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
KHAFOTHAIM,386,CashKHAFOTHAIM,CashKHAFOTHAIM,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank KHAFOTHAIM ACC # 015795017321058,015795017321058,VENDHQ_REGISTERS.BANK_ACCOUNT
HAFRBATIN,387,CashHAFRBATIN,CashHAFRBATIN,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank HAFRBATIN ACC # 015795017321055,015795017321055,VENDHQ_REGISTERS.BANK_ACCOUNT
BUROTHAIM,388,CashBUROTHAIM,CashBUROTHAIM,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank BUROTHAIM ACC # 015795017321053,015795017321053,VENDHQ_REGISTERS.BANK_ACCOUNT
DAMMOTHAIM,389,CashDAMMOTHAIM,CashDAMMOTHAIM,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank DAMMOTHAIM ACC # 015795017321054,015795017321054,VENDHQ_REGISTERS.BANK_ACCOUNT
VILLAGEHMT,390,CashVILLAGEHMT,CashVILLAGEHMT,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank VILLAGEHMT,AL Jazeerah Bank VILLAGEHMT,VENDHQ_REGISTERS.BANK_ACCOUNT
PARKHMT,391,CashPARKHMT,CashPARKHMT,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank PARKHMT ACC # 015795017321056,015795017321056,VENDHQ_REGISTERS.BANK_ACCOUNT
NAKHDMM,392,CashNAKHDMM,CashNAKHDMM,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank NAKHDMM,AL Jazeerah Bank NAKHDMM,VENDHQ_REGISTERS.BANK_ACCOUNT
Hall 4.2,393,Cash Account Hall 4,ount,VENDHQ_REGISTERS.CASH_ACCOUNT,National Bank of Kuwait KWD - ACC #******,National Bank of Kuwait KWD - ACC #******,VENDHQ_REGISTERS.BANK_ACCOUNT
Hall 8.2,394,Cash Account Hall 8,ount,VENDHQ_REGISTERS.CASH_ACCOUNT,National Bank of Kuwait KWD - ACC #******,National Bank of Kuwait KWD - ACC #******,VENDHQ_REGISTERS.BANK_ACCOUNT
AJAWEED,395,CashAJAWEED,CashAJAWEED,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah BankAJAWEED,AL Jazeerah BankAJAWEED,VENDHQ_REGISTERS.BANK_ACCOUNT
RYDAVENUE,396,CashRYDAVENUE,CashRYDAVENUE,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah BankRYDAVENUE,AL Jazeerah BankRYDAVENUE,VENDHQ_REGISTERS.BANK_ACCOUNT
RYDPARK,397,CashRYDPARK,CashRYDPARK,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah BankRYDPARK,AL Jazeerah BankRYDPARK,VENDHQ_REGISTERS.BANK_ACCOUNT
OBHURMALL,398,CashOBHURMALL,CashOBHURMALL,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah BankOBHURMALL,AL Jazeerah BankOBHURMALL,VENDHQ_REGISTERS.BANK_ACCOUNT
HAMDANIIYA,401,CashHAMDANIIYA,CashHAMDANIIYA,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah BankHAMDANIIYA,AL Jazeerah BankHAMDANIIYA,VENDHQ_REGISTERS.BANK_ACCOUNT
ALKOUTMALL,399,Cash Account ALKOUTMALL,ount,VENDHQ_REGISTERS.CASH_ACCOUNT,National Bank of Kuwait KWD - ACC #******,National Bank of Kuwait KWD - ACC #******,VENDHQ_REGISTERS.BANK_ACCOUNT
GATEMALL,400,Cash Account GATEMALL,ount,VENDHQ_REGISTERS.CASH_ACCOUNT,National Bank of Kuwait KWD - ACC #******,National Bank of Kuwait KWD - ACC #******,VENDHQ_REGISTERS.BANK_ACCOUNT
HIJABMALL,407,Cash HIJABMALL,Cash HIJABMALL,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah HIJABMALL,AL Jazeerah HIJABMALL,VENDHQ_REGISTERS.BANK_ACCOUNT
HILTONMAK,408,Cash HILTONMAK,Cash HILTONMAK,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah HILTONMAK,AL Jazeerah HILTONMAK,VENDHQ_REGISTERS.BANK_ACCOUNT
KHURAISSQ2,409,Cash KHURAISSQ,Cash KHURAISSQ,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah KHURAISSQ,AL Jazeerah KHURAISSQ,VENDHQ_REGISTERS.BANK_ACCOUNT
PRNCSLRD,410,Cash PRNCSLRD,Cash PRNCSLRD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah PRNCSLRD,AL Jazeerah PRNCSLRD,VENDHQ_REGISTERS.BANK_ACCOUNT
RIYADHDST,411,Cash RIYADHDST,Cash RIYADHDST,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah RIYADHDST,AL Jazeerah RIYADHDST,VENDHQ_REGISTERS.BANK_ACCOUNT
RYDSHIFA,412,Cash RYDSHIFA,Cash RYDSHIFA,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah RYDSHIFA,AL Jazeerah RYDSHIFA,VENDHQ_REGISTERS.BANK_ACCOUNT
MAKAHMEJAZ,467,Cash MAKAHMEJAZ,Cash MAKAHMEJAZ,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank MAKAHMEJAZ,AL Jazeerah Bank MAKAHMEJAZ,VENDHQ_REGISTERS.BANK_ACCOUNT
KUWTMARINA,468,Cash Account KUWTMARINA,ount,VENDHQ_REGISTERS.CASH_ACCOUNT,National Bank of Kuwait KWD - ACC #******,National Bank of Kuwait KWD - ACC #******,VENDHQ_REGISTERS.BANK_ACCOUNT
NAJKINGROD,469,Cash NAJKINGROD,Cash NAJKINGROD,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank NAJKINGROD,AL Jazeerah Bank NAJKINGROD,VENDHQ_REGISTERS.BANK_ACCOUNT
RYDSAWARIP,474,Cash RYDSAWARIP,Cash RYDSAWARIP,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank RYDSAWARIP,AL Jazeerah Bank RYDSAWARIP,VENDHQ_REGISTERS.BANK_ACCOUNT
NAJRANPLZA,475,Cash NAJRANPLZA,Cash NAJRANPLZA,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank NAJRANPLZA,AL Jazeerah Bank NAJRANPLZA,VENDHQ_REGISTERS.BANK_ACCOUNT
ABHATIMSQR,476,Cash ABHATIMSQR,Cash ABHATIMSQR,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank ABHATIMSQR,AL Jazeerah Bank ABHATIMSQR,VENDHQ_REGISTERS.BANK_ACCOUNT
ALARIDAH,477,Cash ALARIDAH,Cash ALARIDAH,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank ALARIDAH,AL Jazeerah Bank ALARIDAH,VENDHQ_REGISTERS.BANK_ACCOUNT
SAMTAHMALL,478,Cash SAMTAHMALL,Cash SAMTAHMALL,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank SAMTAHMALL,AL Jazeerah Bank SAMTAHMALL,VENDHQ_REGISTERS.BANK_ACCOUNT
JEDANDLUS2,479,Cash JEDANDLUS2,Cash JEDANDLUS2,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank JEDANDLUS2,AL Jazeerah Bank JEDANDLUS2,VENDHQ_REGISTERS.BANK_ACCOUNT
SABIAYASMN,482,Cash SABIAYASMN,Cash SABIAYASMN,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank SABIAYASMN,AL Jazeerah Bank SABIAYASMN,VENDHQ_REGISTERS.BANK_ACCOUNT
DUBSILCNML,484,Cash DUBSILCNML,Cash DUBSILCNML,VENDHQ_REGISTERS.CASH_ACCOUNT,Abu Dhabi Islamic Bank Account AED,ount,VENDHQ_REGISTERS.BANK_ACCOUNT
UWALKJED,502,Cash UWALKJED,Cash UWALKJED,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank UWALKJED,AL Jazeerah Bank UWALKJED,VENDHQ_REGISTERS.BANK_ACCOUNT
BARKAOMN,512,Cash BARKAOMN,Cash BARKAOMN,VENDHQ_REGISTERS.CASH_ACCOUNT,Oman Arab Bank Account- ACC # 3106-573999-500,ount-,VENDHQ_REGISTERS.BANK_ACCOUNT
GALRYRYD2,514,Cash GALRYRYD2,Cash GALRYRYD2,VENDHQ_REGISTERS.CASH_ACCOUNT,AL Jazeerah Bank GALRYRYD2,AL Jazeerah Bank GALRYRYD2,VENDHQ_REGISTERS.BANK_ACCOUNT
