REGISTER_ID,OUTLET_ID,REGISTER_NAME,CASH_ACCOUNT,CASH_ACCOUNT_ID,BANK_ACCOUNT,BANK_ACCOUNT_ID,VERSION,DELETED_AT,REGION,GIFT_ACCOUNT,GIFT_ACCOUNT_ID
339,156,ARABMALL,CASH Arab Mall Branch,3E+14,AL Jazeerah Bank Arab Mall Account - Acc # 015795017321008,3E+14,,,SA,,
357,165,HAMRAA,Cash Al Hamra Mall,3E+14,AL Jazeerah Bank Hamraa Mall Account - Acc # 015795017321018,3E+14,,,SA,,
352,172,MAKKAH,CASH Makkah Mall Branch,3E+14,AL Jazeerah Bank Makkah Mall Account - Acc # 015795017321037,3E+14,,,SA,,
340,158,AZIZMALL,CASH Aziz Mall Branch,3E+14,AL Jazeerah Bank Aziz Mall Account - Acc # 015795017321012,3E+14,,,SA,,
351,178,NOUR,Cash Noor Mall,3E+14,AL Jazeerah Bank Al Noor Mall Account - Acc # 015795017321025,3E+14,,,SA,,
365,187,TAWAREN,CASH Tawaren Center Branch,3E+14,AL Jazeerah Bank Tawaren Center Account - Acc # 015795017321023,3E+14,,,SA,,
404,185,TAHLIA-F,CASH Tahliah Center Branch,3E+14,AL Jazeerah Bank Tahlia Center Account - Acc # 015795017321005,3E+14,,,SA,,
346,185,TAHLIA,CASH Tahliah Center Branch,3E+14,AL Jazeerah Bank Tahlia Center Account - Acc # 015795017321005,3E+14,,,SA,,
345,182,SALAMJED,CASH Salam Mall Jeddah Branch,3E+14,AL Jazeerah Bank Salam Jed Mall count - Acc # 015795017321009,3E+14,,,SA,,
361,180,RYDGALLER,Cash Riyadh Gallery,3E+14,AL Jazeerah Bank Riyad Gallery Account - Acc # 015795017321017,3E+14,,,SA,,
344,179,REDSEA,CASH Red Sea Mall Branch,3E+14,AL Jazeerah Bank Red Sea Mall Account - Acc # 015795017321006,3E+14,,,SA,,
358,166,HAYAT,Cash Al Hayat Mall,3E+14,AL Jazeerah Bank Hayat Mall Account - Acc # 015795017321016,3E+14,,,SA,,
342,164,HAIFAA,CASH Haifaa Mall Branch,3E+14,AL Jazeerah Bank Haifa Mall Account - Acc # 015795017321013,3E+14,,,SA,,
341,162,FLAMINGO,CASH Felamengo Mall Branch,3E+14,AL Jazeerah Bank Flamingo Mall Account - Acc # 015795017321014,3E+14,,,SA,,
347,189,YASMEEN,CASH Yasmeen Mall Branch,3E+14,AL Jazeerah Bank Yasmeen Mall Account - Acc # 015795017321010,3E+14,,,SA,,
338,155,ANDLUS,CASH Andalus Mall Branch,3E+14,AL Jazeerah Bank Andalus Mall Account - Acc # 015795017321007,3E+14,,,SA,,
350,174,MANAR,Cash Al Manar Mall,3E+14,AL Jazeerah Bank Al Manar Mall Account - Acc # 015795017321026,3E+14,,,SA,,
406,245,PANORAMA,CashPANORAMA,3E+14,AL Jazeerah PANORAMA,3E+14,,,SA,,
343,171,MAHMAL,CASH AL Mahmal Branch,3E+14,AL Jazeerah Bank Mahmal Center Account - Acc # 015795017321011,3E+14,,,SA,,
386,227,KHAFOTHAIM,CashKHAFOTHAIM,3E+14,AL Jazeerah Bank KHAFOTHAIM ACC # 015795017321058,3E+14,,,SA,,
387,228,HAFRBATIN,CashHAFRBATIN,3E+14,AL Jazeerah Bank HAFRBATIN ACC # 015795017321055,3E+14,,,SA,,
388,229,BUROTHAIM,CashBUROTHAIM,3E+14,AL Jazeerah Bank BUROTHAIM ACC # 015795017321053,3E+14,,,SA,,
389,230,DAMMOTHAIM,CashDAMMOTHAIM,3E+14,AL Jazeerah Bank DAMMOTHAIM ACC # 015795017321054,3E+14,,,SA,,
390,231,VILLAGEHMT,CashVILLAGEHMT,3E+14,AL Jazeerah Bank VILLAGEHMT,3E+14,,,SA,,
391,232,PARKHMT,CashPARKHMT,3E+14,AL Jazeerah Bank PARKHMT ACC # 015795017321056,3E+14,,,SA,,
