ROW_ID,BILL_TO_NAME,BILL_TO_ACCOUNT,STD_RCPT_NO,Address_SITE_NUMBER,BUSINESS_UNIT,TXN_SOURCE,TXN_TYPE,RATE_IS_CORPORATE,REC_ACTIVITY_NAME_BANK,SUBINVENTORY,INTEGRATION_SOURCE,DISTRIBUTION_ACC_ID,REC_ACTIVITY_NAME_CASH,REGION,CUSTOMER_TYPE,COST_CENTER_CODE
694,Granada Mall,30011,23004,118039,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,GRANADA,Vend HQ,,Cash Rounding,SA,NORMAL,0110
723,Hafral Batin,68016,49008,407047,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HAFRBATIN,Vend HQ,,Cash Rounding,SA,NORMAL,0803
655,Haifaa Mall,16,16,1035,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HAIFAA,Vend HQ,,Cash Rounding,SA,NORMAL,0209
23731655,HAILZONE,125016,110013,652352,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HAILZONE,Vend HQ,,Cash Rounding,SA,NORMAL,1203
23668,HAMDANIIYA,72019,55011,447115,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HAMDANIIYA,Vend HQ,,Cash Rounding,SA,NORMAL,0218
2366845,HAMDANYA2,88016,74005,561123,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HAMDANYA2,Vend HQ,,Cash Rounding,SA,NORMAL,1005
136682,HIJABMALL,81011,67003,518113,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HIJABMALL,Vend HQ,,Cash Rounding,SA,NORMAL,1013
136683,HILTONMAK,81012,67005,518114,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HILTONMAK,Vend HQ,,Cash Rounding,SA,NORMAL,1013
236810,HILTONMAK2,93012,78003,573127,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HILTONMAK2,Vend HQ,,Cash Rounding,SA,NORMAL,1408
677,Hungerstation,45014,31074,210040,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,EXBSA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0113
