ROW_ID,BILL_TO_NAME,BILL_TO_ACCOUNT,BILL_TO_SITE_NUMBER,BUSINESS_UNIT,TXN_SOURCE,TXN_TYPE,RATE_IS_CORPORATE,REC_ACTIVITY_NAME_BANK,SUBINVENTORY,INTEGRATION_SOURCE,DISTRIBUTION_ACC_ID,REC_ACTIVITY_NAME_CASH,REGION,CUSTOMER_TYPE,COST_CENTER_CODE
1653,Tabby Saudi For communication and IT,50011,3000079,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,AMWAJ,Vend HQ,,Cash Rounding,SA,TABBY,401
1667,Tabby Saudi For communication and IT,50011,3000083,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MAKKAH,Vend HQ,,Cash Rounding,SA,TABBY,1401
1686,Nakhla IT Systems (LLC) Tamara,69011,30000119,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,RABWA,Vend HQ,,Cash Rounding,SA,TAMARA,112
2686,Tabby Saudi For communication and IT,50011,3000099,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,RABWA,Vend HQ,,Cash Rounding,SA,TABBY,112
1720,Tabby Saudi For communication and IT,50011,3000101,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,RASHIDJZN,Vend HQ,,Cash Rounding,SA,TABBY,1302
2720,Nakhla IT Systems (LLC) Tamara,69011,30000121,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,RASHIDJZN,Vend HQ,,Cash Rounding,SA,TAMARA,1302
1727,Tabby Saudi For communication and IT,50011,3000098,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,PARKHMT,Vend HQ,,Cash Rounding,SA,TABBY,1002
2727,Nakhla IT Systems (LLC) Tamara,69011,30000118,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,PARKHMT,Vend HQ,,Cash Rounding,SA,TAMARA,1002
1726,Tabby Saudi For communication and IT,50011,3000103,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,VILLAGEHMT,Vend HQ,,Cash Rounding,SA,TABBY,215
2726,Nakhla IT Systems (LLC) Tamara,69011,30000123,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,VILLAGEHMT,Vend HQ,,Cash Rounding,SA,TAMARA,215
1723,Tabby Saudi For communication and IT,50011,3000093,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HAFRBATIN,Vend HQ,,Cash Rounding,SA,TABBY,803
2723,Nakhla IT Systems (LLC) Tamara,69011,30000113,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HAFRBATIN,Vend HQ,,Cash Rounding,SA,TAMARA,803
1724,Tabby Saudi For communication and IT,50011,3000086,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,BUROTHAIM,Vend HQ,,Cash Rounding,SA,TABBY,1103
2724,Nakhla IT Systems (LLC) Tamara,69011,30000106,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,BUROTHAIM,Vend HQ,,Cash Rounding,SA,TAMARA,1103
1718,Tabby Saudi For communication and IT,50011,3000104,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,WADILABAN,Vend HQ,,Cash Rounding,SA,TABBY,115
2718,Nakhla IT Systems (LLC) Tamara,69011,30000124,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,WADILABAN,Vend HQ,,Cash Rounding,SA,TAMARA,115
1663,Tabby Saudi For communication and IT,50011,3000090,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,EXBSA03,Vend HQ,,Cash Rounding,SA,TABBY,110
2663,Nakhla IT Systems (LLC) Tamara,69011,30000110,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,EXBSA03,Vend HQ,,Cash Rounding,SA,TAMARA,110
1664,Tabby Saudi For communication and IT,50011,3000091,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,EXBSA04,Vend HQ,,Cash Rounding,SA,TABBY,110
2664,Nakhla IT Systems (LLC) Tamara,69011,30000111,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,EXBSA04,Vend HQ,,Cash Rounding,SA,TAMARA,110
1722,Tabby Saudi For communication and IT,50011,3000094,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,KHAFOTHAIM,Vend HQ,,Cash Rounding,SA,TABBY,802
